"Category","Item","Serving_size","Calories","Cal_Fat","Total_Fat","Satur_Fat","Trans_Fat","Cholesterol","Sodium","Carbohydrates","Dietary_fiber","Sugars","Protein","Vitamin_A_DV","Vitamin_C_DV"
"Breakfast","Egg McMuffin","4.8 oz (136 g)",300,120,13,NA,NA,260,750,31,4,3,17,10,0
"Breakfast","Egg White Delight","4.8 oz (135 g)",250,70,8,3,0,25,770,30,4,3,18,6,0
"Breakfast","Sausage McMuffin","3.9 oz (111 g)",370,200,23,8,0,45,NA,29,4,2,14,8,0
"Breakfast","Sausage McMuffin with Egg","5.7 oz (161 g)",450,250,28,10,0,285,860,30,4,2,21,15,0
"Breakfast","Sausage McMuffin with Egg Whites","5.7 oz (161 g)",400,210,23,8,0,50,880,30,4,NA,21,6,0
"Breakfast","Steak & Egg McMuffin","6.5 oz (185 g)",430,NA,23,9,1,300,960,31,4,3,26,15,2
"Breakfast","Bacon, Egg & Cheese Biscuit (Regular Biscuit)","5.3 oz (150 g)",460,230,26,13,0,250,1300,38,NA,3,19,10,8
"Breakfast","Bacon, Egg & Cheese Biscuit (Large Biscuit)","5.8 oz (164 g)",NA,270,30,14,0,250,1410,43,3,4,19,15,8
"Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)","5.4 oz (153 g)",410,180,20,11,0,35,1300,36,2,3,20,2,8
"Breakfast","Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)","5.9 oz (167 g)",470,220,25,12,0,35,1420,42,3,4,20,6,8
"Breakfast","Sausage Biscuit (Regular Biscuit)","4.1 oz (117 g)",430,240,NA,12,0,30,1080,NA,2,2,11,0,0
"Breakfast","Sausage Biscuit (Large Biscuit)","4.6 oz (131 g)",480,280,31,13,0,30,1190,39,3,3,11,4,0
"Breakfast","Sausage Biscuit with Egg (Regular Biscuit)","5.7 oz (163 g)",510,290,33,14,0,250,1170,36,2,2,18,6,0
"Breakfast","Sausage Biscuit with Egg (Large Biscuit)","6.2 oz (177 g)",570,330,37,15,0,250,1280,42,NA,3,18,10,NA
"Breakfast","Sausage Biscuit with Egg Whites (Regular Biscuit)","5.9 oz (167 g)",460,250,27,12,0,35,NA,34,2,3,18,NA,0
"Breakfast","Sausage Biscuit with Egg Whites (Large Biscuit)","6.4 oz (181 g)",520,280,32,13,0,35,1290,40,3,3,18,4,0
"Breakfast","Southern Style Chicken Biscuit (Regular Biscuit)","5 oz (143 g)",410,180,20,8,0,NA,1180,41,2,3,17,0,2
"Breakfast","Southern Style Chicken Biscuit (Large Biscuit)","5.5 oz (157 g)",470,220,24,9,0,30,1290,46,3,4,NA,4,2
"Breakfast","Steak & Egg Biscuit (Regular Biscuit)","7.1 oz (201 g)",540,290,32,16,1,280,1470,38,2,3,25,10,2
"Breakfast","Bacon, Egg & Cheese McGriddles","6.1 oz (174 g)",460,190,21,9,0,250,1250,NA,2,15,19,10,10
"Breakfast","Bacon, Egg & Cheese McGriddles with Egg Whites","6.3 oz (178 g)",NA,140,15,7,0,35,1250,47,2,16,20,2,10
"Breakfast","Sausage McGriddles","5 oz (141 g)",420,200,22,8,0,35,1030,44,2,15,11,0,0
"Breakfast","Sausage, Egg & Cheese McGriddles","7.1 oz (201 g)",550,280,31,12,0,265,NA,48,2,15,20,10,0
"Breakfast","Sausage, Egg & Cheese McGriddles with Egg Whites","7.2 oz (205 g)",500,230,26,10,0,50,1320,46,2,15,21,2,0
"Breakfast","Bacon, Egg & Cheese Bagel","6.9 oz (197 g)",620,280,31,11,0.5,NA,1480,57,3,NA,30,20,15
"Breakfast","Bacon, Egg & Cheese Bagel with Egg Whites","7.1 oz (201 g)",570,230,25,9,0.5,60,1480,55,3,8,30,10,15
"Breakfast","Steak, Egg & Cheese Bagel","8.5 oz (241 g)",670,310,35,13,NA,295,1510,56,3,7,33,20,4
"Breakfast","Big Breakfast (Regular Biscuit)","9.5 oz (269 g)",740,430,48,17,0,555,1560,51,3,3,28,15,2
"Breakfast","Big Breakfast (Large Biscuit)","10 oz (283 g)",800,470,52,18,0,555,1680,56,4,3,28,15,NA
"Breakfast","Big Breakfast with Egg Whites (Regular Biscuit)","9.6 oz (272 g)",640,330,37,14,0,35,1590,50,3,3,26,0,2
"Breakfast","Big Breakfast with Egg Whites (Large Biscuit)","10.1 oz (286 g)",690,370,41,14,NA,35,1700,55,NA,4,26,4,2
"Breakfast","Big Breakfast with Hotcakes (Regular Biscuit)","14.8 oz (420 g)",1090,510,56,19,0,575,2150,111,6,17,36,15,2
"Breakfast","Big Breakfast with Hotcakes (Large Biscuit)","15.3 oz (434 g)",1150,540,60,20,NA,575,2260,116,7,17,36,15,2
"Breakfast","Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)","14.9 oz (423 g)",990,410,46,16,0,55,2170,110,6,17,35,0,2
"Breakfast","Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)","15.4 oz (437 g)",1050,450,50,16,0,55,2290,NA,7,18,35,4,2
"Breakfast","Hotcakes","5.3 oz (151 g)",350,80,9,2,0,20,590,60,3,14,8,NA,0
"Breakfast","Hotcakes and Sausage","6.8 oz (192 g)",520,210,24,7,0,50,930,61,3,14,15,0,0
"Breakfast","Sausage Burrito","3.9 oz (111 g)",300,150,16,7,0,115,790,26,1,NA,NA,10,2
"Breakfast","Hash Brown","2 oz (56 g)",150,80,9,1.5,0,NA,310,15,2,0,1,0,2
"Breakfast","Cinnamon Melts","4 oz (114 g)",460,170,19,9,0,15,370,66,3,32,6,4,0
"Breakfast","Fruit & Maple Oatmeal","9.6 oz (251 g)",290,35,4,1.5,0,5,NA,58,5,32,5,2,130
"Breakfast","Fruit & Maple Oatmeal without Brown Sugar","9.6 oz (251 g)",260,40,4,1.5,0,5,115,49,5,18,5,2,130
"Beef & Pork","Big Mac","7.4 oz (211 g)",530,240,27,10,1,85,960,47,3,9,24,6,2
"Beef & Pork","Quarter Pounder with Cheese","7.1 oz (202 g)",NA,240,NA,12,1.5,95,1100,NA,3,10,30,10,2
"Beef & Pork","Quarter Pounder with Bacon & Cheese","8 oz (227 g)",600,260,29,13,1.5,105,1440,48,3,12,37,6,15
"Beef & Pork","Quarter Pounder with Bacon Habanero Ranch","8.3 oz (235 g)",610,280,31,13,1.5,105,1180,46,3,10,37,8,20
"Beef & Pork","Quarter Pounder Deluxe","8.6 oz (244 g)",540,250,27,11,1.5,85,960,45,3,9,29,10,8
"Beef & Pork","Double Quarter Pounder with Cheese","10 oz (283 g)",750,380,NA,19,NA,160,1280,42,3,10,48,10,2
"Beef & Pork","Hamburger","3.5 oz (98 g)",240,70,8,3,0,30,NA,32,1,6,12,2,2
"Beef & Pork","Cheeseburger","4 oz (113 g)",290,100,11,5,0.5,45,NA,33,2,7,15,6,2
"Beef & Pork","Double Cheeseburger","5.7 oz (161 g)",430,190,NA,10,1,90,1040,35,2,7,24,10,2
"Beef & Pork","Bacon Clubhouse Burger","9.5 oz (270 g)",720,360,40,15,1.5,115,1470,51,NA,14,39,8,25
"Beef & Pork","McDouble","5.2 oz (147 g)",380,150,NA,8,1,75,840,34,2,7,22,6,2
"Beef & Pork","Bacon McDouble","5.7 oz (161 g)",440,200,22,10,1,90,1110,35,2,7,27,6,10
"Beef & Pork","Daily Double","6.7 oz (190 g)",430,200,NA,9,1,80,760,34,2,7,22,8,8
"Beef & Pork","Jalapeño Double","5.6 oz (159 g)",430,210,23,9,1,80,1030,35,2,6,22,6,NA
"Beef & Pork","McRib","7.3 oz (208 g)",500,240,26,10,0,70,980,44,3,11,22,2,2
"Chicken & Fish","Premium Crispy Chicken Classic Sandwich","7.5 oz (213 g)",510,200,22,3.5,0,45,990,55,3,10,24,4,6
"Chicken & Fish","Premium Grilled Chicken Classic Sandwich","7 oz (200 g)",350,80,9,2,0,65,820,42,3,8,28,4,8
"Chicken & Fish","Premium Crispy Chicken Club Sandwich","8.8 oz (249 g)",670,300,33,9,0,85,1410,58,3,11,36,8,20
"Chicken & Fish","Premium Grilled Chicken Club Sandwich","8.3 oz (235 g)",510,180,20,7,0,105,1250,44,3,9,40,8,20
"Chicken & Fish","Premium Crispy Chicken Ranch BLT Sandwich","8.1 oz (230 g)",610,250,28,6,0,70,1400,57,3,11,32,4,20
"Chicken & Fish","Premium Grilled Chicken Ranch BLT Sandwich","7.6 oz (217 g)",450,NA,15,4.5,NA,90,1230,43,3,9,36,4,20
"Chicken & Fish","Bacon Clubhouse Crispy Chicken Sandwich","10 oz (284 g)",750,340,38,10,0.5,90,1720,65,4,16,36,8,25
"Chicken & Fish","Bacon Clubhouse Grilled Chicken Sandwich","9.5 oz (270 g)",590,NA,25,8,0,110,1560,NA,4,NA,40,8,NA
"Chicken & Fish","Southern Style Crispy Chicken Sandwich","5.6 oz (160 g)",430,170,19,3,0,45,910,43,2,7,21,4,NA
"Chicken & Fish","McChicken","5.1 oz (143 g)",360,140,16,3,0,35,800,40,2,5,14,0,2
"Chicken & Fish","Bacon Cheddar McChicken","6 oz (171 g)",480,220,24,7,0,65,NA,43,NA,6,22,4,10
